RK,team_id,GP,PTS/G,OPP PTS,PLAYS,YDS,YDS/PLAY,1ST DWN,PENALTY,P YDS,TOP,+/- TOV,YEAR,PHASE,CATEGORY
1,CHI,16,11.7,187,962,4130,4.3,241,108,859,28:56:00,2,1986,REG,defense
2,NYG,16,14.8,236,986,4771,4.8,284,120,978,28:10:00,12,1986,REG,defense
3,LVR,16,21.6,346,1005,4804,4.8,283,116,858,29:06:00,-11,1986,REG,defense
4,LAR,16,21.9,351,1056,4867,4.6,303,86,677,31:11:00,-6,1986,REG,defense
5,SF,16,15.4,247,1036,4896,4.7,285,89,653,30:08:00,18,1986,REG,defense
6,ATL,16,17.5,280,995,4908,4.9,267,107,834,28:12:00,5,1986,REG,defense
7,LAR,16,16.7,267,1026,4917,4.8,269,92,804,31:33:00,4,1986,REG,defense
8,KC,16,20.4,326,1103,4934,4.5,310,117,990,32:31:00,13,1986,REG,defense
9,DEN,16,20.4,327,1011,4955,4.9,291,126,1029,30:30:00,6,1986,REG,defense
10,MIN,16,17.1,273,1021,5014,4.9,286,99,796,30:56:00,13,1986,REG,defense
11,GB,16,26.1,418,1046,5020,4.8,312,79,663,32:49:00,-15,1986,REG,defense
12,DAL,16,21.1,337,1021,5024,4.9,286,90,807,29:46:00,-5,1986,REG,defense
13,HOU,16,20.6,329,1071,5051,4.7,284,85,674,30:59:00,-11,1986,REG,defense
14,NO,16,17.9,287,1088,5106,4.7,331,104,787,32:01:00,0,1986,REG,defense
15,DET,16,20.4,326,1029,5182,5.0,298,98,781,30:18:00,6,1986,REG,defense
16,NE,16,19.2,307,1026,5187,5.1,286,105,851,30:31:00,16,1986,REG,defense
17,PHI,16,19.5,312,1090,5225,4.8,278,115,886,29:54:00,8,1986,REG,defense
18,PIT,16,21.0,336,1027,5272,5.1,303,109,876,31:39:00,-3,1986,REG,defense
19,CLE,16,19.4,310,1049,5289,5.0,302,101,752,31:59:00,13,1986,REG,defense
20,WAS,16,18.5,296,1010,5297,5.2,316,115,1025,31:45:00,-4,1986,REG,defense
21,CIN,16,24.6,394,1041,5318,5.1,336,92,835,31:14:00,-10,1986,REG,defense
22,SEA,16,18.3,293,1045,5349,5.1,310,81,652,31:58:00,9,1986,REG,defense
23,LAC,16,24.8,396,1016,5378,5.3,308,108,918,30:59:00,-11,1986,REG,defense
24,BUF,16,21.8,348,1080,5531,5.1,333,129,1103,32:00:00,-21,1986,REG,defense
25,IND,16,25.0,400,1082,5878,5.4,333,97,708,31:33:00,-9,1986,REG,defense
26,MIA,16,25.3,405,1043,6050,5.8,337,82,596,31:46:00,-10,1986,REG,defense
27,NYJ,16,24.1,386,1094,6108,5.6,350,98,795,30:14:00,1,1986,REG,defense
28,TB,16,29.6,473,1097,6338,5.8,362,116,936,32:49:00,-10,1986,REG,defense
1,LAR,1,19.0,19,65,228,3.5,19,6,45,36:06:00,-6,1986,POST,defense
2,CHI,1,27.0,27,72,302,4.2,19,8,65,33:44:00,-3,1986,POST,defense
3,KC,1,35.0,35,61,306,5.0,19,8,54,31:07:00,-3,1986,POST,defense
4,SF,1,49.0,49,65,366,5.6,21,3,23,34:36:00,-4,1986,POST,defense
5,NE,1,22.0,22,80,441,5.5,23,3,20,35:29:00,2,1986,POST,defense
6,CLE,2,21.5,43,141,661,4.7,36,16,133,33:52:00,-4,1986,POST,defense
7,WAS,3,12.3,37,173,743,4.3,41,18,168,28:45:00,10,1986,POST,defense
8,NYG,3,7.7,23,186,746,4.0,44,18,105,26:54:00,4,1986,POST,defense
9,NYJ,2,19.0,38,160,799,5.0,48,5,45,29:38:00,5,1986,POST,defense
10,DEN,3,25.3,76,183,1026,5.6,53,20,169,30:18:00,-1,1986,POST,defense
1,SF,15,16.9,253,925,4091,4.4,250,78,640,28:17:00,12,1987,REG,defense
2,CHI,15,18.8,282,967,4215,4.4,259,121,1103,28:02:00,-20,1987,REG,defense
3,CLE,15,15.9,239,898,4269,4.8,251,120,1013,28:21:00,7,1987,REG,defense
4,NO,15,18.9,283,904,4335,4.8,273,83,669,26:59:00,20,1987,REG,defense
5,LVR,15,19.3,289,947,4363,4.6,266,94,647,29:15:00,-3,1987,REG,defense
6,IND,15,15.9,238,988,4593,4.6,274,85,689,30:31:00,11,1987,REG,defense
7,NYG,15,20.8,312,1060,4658,4.4,276,96,797,33:33:00,-9,1987,REG,defense
8,CIN,15,24.7,370,929,4697,5.1,286,79,654,30:14:00,-6,1987,REG,defense
9,DEN,15,19.2,288,934,4813,5.2,277,95,780,29:36:00,11,1987,REG,defense
10,MIN,15,22.3,335,988,4824,4.9,281,107,964,31:00:00,4,1987,REG,defense
11,BUF,15,20.3,305,1025,4876,4.8,297,102,830,32:58:00,-12,1987,REG,defense
12,NE,15,19.5,293,1041,4877,4.7,293,110,845,31:51:00,10,1987,REG,defense
13,GB,15,20.0,300,1035,4921,4.8,296,104,847,32:05:00,8,1987,REG,defense
14,PIT,15,19.9,299,964,4931,5.1,289,95,770,30:15:00,11,1987,REG,defense
15,TB,15,24.0,360,998,4985,5.0,314,124,926,31:23:00,5,1987,REG,defense
16,HOU,15,23.3,349,971,4993,5.1,286,101,864,30:43:00,0,1987,REG,defense
17,LAC,15,21.1,317,1004,5001,5.0,280,112,894,32:56:00,-15,1987,REG,defense
18,WAS,15,19.0,285,994,5027,5.1,296,98,816,30:34:00,-3,1987,REG,defense
19,NYJ,15,24.0,360,1029,5041,4.9,300,98,886,30:01:00,-5,1987,REG,defense
20,DAL,15,23.2,348,1013,5051,5.0,294,100,851,30:31:00,3,1987,REG,defense
21,LAR,15,24.1,361,948,5123,5.4,279,101,918,30:01:00,-7,1987,REG,defense
